eez_id,name,territory,sovereign,centroid_lat,centroid_lon
8341|"French Exclusive Economic Zone (Europa Island)"|"Europa Island"|"France"|-23.536818|40.109277
8343|"Mauritian Exclusive Economic Zone"|"Republic of Mauritius"|"Republic of Mauritius"|-16.810213|60.117203
8345|"Maldivian Exclusive Economic Zone"|"Maldives"|"Maldives"|2.463524|73.085451
8346|"Sri Lankan Exclusive Economic Zone"|"Sri Lanka"|"Sri Lanka"|6.546377|81.636074
8347|"Mozambican Exclusive Economic Zone"|"Mozambique"|"Mozambique"|-20.370615|37.957396
8348|"Madagascan Exclusive Economic Zone"|"Madagascar"|"Madagascar"|-20.913354|47.253953
8349|"Kenyan Exclusive Economic Zone"|"Kenya"|"Kenya"|-3.474639|41.937648
8350|"Somali Exclusive Economic Zone"|"Federal Republic of Somalia"|"Federal Republic of Somalia"|5.022262|48.492052
8351|"Eritrean Exclusive Economic Zone"|"Eritrea"|"Eritrea"|15.823459|40.592550
8352|"Djiboutian Exclusive Economic Zone"|"Djibouti"|"Djibouti"|11.997104|43.432963
8353|"Yemeni Exclusive Economic Zone"|"Yemen"|"Yemen"|12.889056|52.061610
8354|"Omani Exclusive Economic Zone"|"Oman"|"Oman"|18.949146|58.669981
8355|"Sudanese Exclusive Economic Zone"|"Sudan"|"Sudan"|19.747925|38.143670
8356|"Saudi Arabian Exclusive Economic Zone"|"Saudi Arabia"|"Saudi Arabia"|22.452765|40.483133
8357|"Kuwaiti Exclusive Economic Zone"|"Kuwait"|"Kuwait"|29.174799|48.619156
8358|"Bahraini Exclusive Economic Zone"|"Bahrain"|"Bahrain"|26.335396|50.705336
8359|"Pakistani Exclusive Economic Zone"|"Pakistan"|"Pakistan"|23.539495|64.711751
8360|"Emirati Exclusive Economic Zone"|"United Arab Emirates"|"United Arab Emirates"|24.943957|53.893033
8361|"Portuguese Exclusive Economic Zone (Azores)"|"Azores"|"Portugal"|38.475376|-27.976015
8362|"Cape Verdean Exclusive Economic Zone"|"Cape Verde"|"Cape Verde"|16.091904|-24.171638
8363|"Portuguese Exclusive Economic Zone (Madeira)"|"Madeira"|"Portugal"|33.173018|-16.810907
8364|"Spanish Exclusive Economic Zone (Canary Islands)"|"Canary Islands"|"Spain"|28.367148|-17.613956
8365|"Overlapping claim Gibraltar: United Kingdom / Spain"|"Gibraltar"|"United Kingdom"|36.088319|-5.219612
8366|"Tunisian Exclusive Economic Zone"|"Tunisia"|"Tunisia"|36.001326|11.053189
8367|"Moroccan Exclusive Economic Zone"|"Morocco"|"Morocco"|32.781347|-9.852014
8368|"Overlapping claim Western Sahara: Western Sahara / Morocco"|"Western Sahara"|"Western Sahara"|23.342359|-17.695424
8369|"Mauritanian Exclusive Economic Zone"|"Mauritania"|"Mauritania"|18.248520|-17.917548
8370|"Gambian Exclusive Economic Zone"|"Gambia"|"Gambia"|13.328666|-18.387511
8371|"Senegalese Exclusive Economic Zone"|"Senegal"|"Senegal"|13.694629|-18.503575
8372|"Libyan Exclusive Economic Zone"|"Libya"|"Libya"|33.150168|18.356774
8373|"Syrian Exclusive Economic Zone"|"Syria"|"Syria"|35.328708|35.496244
8374|"Lebanese Exclusive Economic Zone"|"Lebanon"|"Lebanon"|33.952956|34.941862
8375|"Israeli Exclusive Economic Zone"|"Israel"|"Israel"|32.611200|34.102197
8376|"Cypriote Exclusive Economic Zone"|"Cyprus"|"Cyprus"|34.489291|32.635258
8378|"Algerian Exclusive Economic Zone"|"Algeria"|"Algeria"|37.203437|3.539794
8379|"British Exclusive Economic Zone (Ascension)"|"Ascension"|"United Kingdom"|-7.947469|-14.363373
8380|"British Exclusive Economic Zone (Saint Helena)"|"Saint Helena"|"United Kingdom"|-15.972778|-5.708691
8381|"Brazilian Exclusive Economic Zone (Trindade)"|"Trindade"|"Brazil"|-20.502770|-29.096436
8382|"British Exclusive Economic Zone (Tristan da Cunha)"|"Tristan da Cunha"|"United Kingdom"|-38.761896|-11.209868
8383|"Overlapping claim South Georgia and the South Sandwich Islands: United Kingdom / Argentina"|"South Georgia and the South Sandwich Islands"|"United Kingdom"|-56.524043|-31.263814
8384|"South African Exclusive Economic Zone (Prince Edward Islands)"|"Prince Edward Islands"|"South Africa"|-46.832916|37.808536
